Date,AOK
2017-07-21,30.165143966674805
2017-07-24,30.18281364440918
2017-07-25,30.138675689697266
2017-07-26,30.209287643432617
2017-07-27,30.138675689697266
2017-07-28,30.191633224487305
2017-07-31,30.156339645385742
2017-08-01,30.27992820739746
2017-08-02,30.232175827026367
2017-08-03,30.285213470458984
2017-08-04,30.27638816833496
2017-08-07,30.24101448059082
2017-08-08,30.25869369506836
2017-08-09,30.25869369506836
2017-08-10,30.143783569335938
2017-08-11,30.143783569335938
2017-08-14,30.232175827026367
2017-08-15,30.143783569335938
2017-08-16,30.196840286254883
2017-08-17,30.090749740600586
2017-08-18,30.143783569335938
2017-08-21,30.161447525024414
2017-08-22,30.179153442382812
2017-08-23,30.25869369506836
2017-08-24,30.179153442382812
2017-08-25,30.249853134155273
